WORD                  TEXT  LINE  OLEN  WLEN  XPOS  WNUM  FDUR  OBLP  WDLP  FXNO    TXFR                                            
The                      1     1     3     3     0     1   149     0     0     1    3511
The                      1     1     3     3     3     1   153     3     3     2    3511
decision                 1     1     8     8    10     2   104     6     6     3      11
decision                 1     1     8     8    12     2   112     8     8     4      11
of                     -99     0     0     0     0     3     0     0     0     0       0
the                    -99     0     0     0     0     4     0     0     0     0       0
Human                    1     1     5     5    20     5   157     0     0     5      25
Human                    1     1     5     5    25     5   163     5     5     6      25
Fertility                1     1     9     9    30     6   184     4     4     7       1
Fertility                1     1     9     9    32     6   188     6     6     8       1
and                    -99     0     0     0     0     7     0     0     0     0       0
Embryology               1     1    10    10    42     8   146     2     2     9       3
Embryology               1     1    10    10    45     8   237     5     5    10       3
Embryology               1     1    10    10    47     8   239     7     7    11       3
Authority                1     1     9     9    54     9   261     3     3    12       8
(HFEA)                   1     1     6     4    66    10   155     5     4    13       6
to                     -99     0     0     0     0    11     0     0     0     0       0
allow                  -99     0     0     0     0    12     0     0     0     0       0
a                      -99     0     0     0     0    13     0     0     0     0       0
couple                   1     2     6     6     6    14   201     6     6    15       7
to                     -99     0     0     0     0    15     0     0     0     0       0
select                   1     2     6     6    14    16   227     4     4    16       5
genetically              1     2    11    11    23    17   230     6     6    17       2
their                    1     2     5     5    31    18   175     2     2    18     225
next                     1     2     4     4    37    19   211     2     2    19      35
baby                     1     2     4     4    42    20   203     2     2    20       5
was                    -99     0     0     0     0    21     0     0     0     0       0
bound                    1     2     5     5    49    22   111     0     0    21       2
to                     -99     0     0     0     0    23     0     0     0     0       0
raise                    1     2     5     5    59    24   201     1     1    22       3
raise                    1     2     5     5    60    24   146     2     2    23       3
concerns                 1     2     8     8    72    25   165     8     8    24       2
that                   -99     0     0     0     0    26     0     0     0     0       0
advances                 1     3     8     8     8    27   101     8     8    26       5
advances                 1     3     8     8     6    27   291     6     6    27       5
in                     -99     0     0     0     0    28     0     0     0     0       0
biotechnology            1     3    13    13    17    29   175     5     5    28       4
biotechnology            1     3    13    13    25    29   125    13    13    29       4
are                    -99     0     0     0     0    30     0     0     0     0       0
racing                   1     3     6     6    31    31   126     1     1    30       4
ahead                    1     3     5     5    42    32   175     5     5    32       9
of                     -99     0     0     0     0    33     0     0     0     0       0
our                      1     3     3     3    47    34   170     1     1    33      84
ability                  1     3     7     7    54    35   181     4     4    34       9
to                     -99     0     0     0     0    36     0     0     0     0       0
control                  1     3     7     7    64    37   100     3     3    35      10
control                  1     3     7     7    67    37   194     6     6    37      10
the                    -99     0     0     0     0    38     0     0     0     0       0
consequences.            1     4    13    12     3    39   362     3     3    38       8
The                    -99     0     0     0     0    40     0     0     0     0       0
couple                   1     4     6     6    23    41   103     5     5    40       7
at                       1     4     2     2    25    42   205     0     0    39     269
the                      1     4     3     3    30    43   111     2     2    41    3511
centre                   1     4     6     6    36    44   178     4     4    42      16
centre                   1     4     6     6    32    44   269     0     0    44      16
of                       1     4     2     2    39    45   105     0     0    43    1757
this                   -99     0     0     0     0    46     0     0     0     0       0
case                     1     4     4     4    47    47   243     0     0    45      26
case                     1     4     4     4    51    47   247     4     4    46      26
case                     1     4     4     4    47    47   217     0     0    48      26
case                     1     4     4     4    49    47   100     2     2    49      26
have                   -99     0     0     0     0    48     0     0     0     0       0
a                        1     4     1     1    58    49   159     1     1    47    1434
son                      1     4     3     3    61    50   241     2     2    50       6
who                    -99     0     0     0     0    51     0     0     0     0       0
suffers                  1     4     7     7    67    52   124     0     0    51       1
suffers                  1     4     7     7    72    52   221     5     5    52       1
from                     1     4     4     4    75    53   104     0     0    53     248
a                      -99     0     0     0     0    54     0     0     0     0       0
potentially              1     5    11    11     5    55   108     3     3    55       3
fatal                  -99     0     0     0     0    56     0     0     0     0       0
disorder                 1     5     8     8    23    57   218     3     3    56       4
and                      1     5     3     3    29    58   146     0     0    57    1283
whose                    1     5     5     5    38    59   143     5     5    58      11
whose                    1     5     5     5    33    59   261     0     0    60      11
best                     1     5     4     4    41    60   194     2     2    61      23
hope                     1     5     4     4    48    61   154     4     4    62      14
is                     -99     0     0     0     0    62     0     0     0     0       0
a                      -99     0     0     0     0    63     0     0     0     0       0
marrow                   1     5     6     6    55    64   261     1     1    63       2
transplant               1     5    10    10    65    65   318     4     4    64       1
transplant               1     5    10    10    69    65   125     8     8    65       1
from                     1     5     4     4    76    66   161     4     4    66     248
from                     1     5     4     4    74    66   237     2     2    67     248
from                     1     5     4     4    73    66    31     1     1    68     248
a                      -99     0     0     0     0    67     0     0     0     0       0
sibling,                 2     1     8     7     3    68   156     3     3    69       2
sibling,                 2     1     8     7     6    68   170     6     6    70       2
so                     -99     0     0     0     0    69     0     0     0     0       0
the                    -99     0     0     0     0    70     0     0     0     0       0
stakes                   2     1     6     6    16    71   180     0     0    71       3
stakes                   2     1     6     6    19    71   175     3     3    73       3
of                       2     1     2     2    23    72   319     0     0    72    1757
this                     2     1     4     4    26    73   124     0     0    74     293
this                     2     1     4     4    30    73   183     4     4    75     293
decision                 2     1     8     8    34    74   255     3     3    76      11
decision                 2     1     8     8    36    74    95     5     5    77      11
are                    -99     0     0     0     0    75     0     0     0     0       0
particularly             2     1    12    12    45    76   211     1     1    78       8
particularly             2     1    12    12    51    76   151     7     7    79       8
particularly             2     1    12    12    56    76   139    12    12    80       8
high.                  -99     0     0     0     0    77     0     0     0     0       0
The                    -99     0     0     0     0    78     0     0     0     0       0
HFEA's                   2     1     6     6    76    79    95     5     5    81     -99
critics                  2     2     7     7     7    80   300     7     7    84      11
believe                  2     2     7     7    13    81   211     5     5    85      20
that                   -99     0     0     0     0    82     0     0     0     0       0
it                       2     2     2     2    23    83   268     2     2    86     544
it                       2     2     2     2    23    83   198     2     2    94     544
