WORD                  TEXT  LINE  OLEN  WLEN  XPOS  WNUM  FDUR  OBLP  WDLP  LAUN    TXFR                                            
If                       1     1     2     2     1     1   193     1     1     0     150
believe                  1     1     7     7    13     3   120     6     6   -12      20
critics,                 1     1     8     7    25     5   231     4     4   -12      11
noble                    1     1     5     5    37     7   214     3     3   -12       2
have                     1     1     4     4    47     9   166     1     1   -10     361
themselves               1     1    10    10    59    11   178     1     1   -12      21
supreme                  1     1     7     7    70    12   194     1     1   -11       2
lords                    1     2     5     5     2    13   202     2     2   -99       9
Yesterday's              1     2    11    11    22    16   232     7     7   -20     -99
report                   1     2     6     6    33    17   151     6     6   -11       7
Yesterday's              1     2    11    11    19    16   166     4     4    14     -99
Yesterday's              1     2    11    11    16    16    89     1     1     3     -99
on                       1     2     2     2    34    18   157     0     0   -18     417
the                      1     2     3     3    51    21   229     1     1   -17    3511
Lords                    1     2     5     5    58    22   177     4     4    -7       9
select                   1     2     6     6    65    23   197     5     5    -7       5
committee                1     2     9     9    74    24   194     7     7    -9       8
stem-cell                1     3     9     9     2    26   244     2     2   -99     -99
research                 1     3     8     8    18    27   186     8     8   -16      22
thumbs-up                1     3     9     9    31    30   247     2     2   -13     -99
technique                1     3     9     9    45    33   256     1     1   -14       5
that,                    1     3     5     4    58    34   147     4     4   -13     871
says,                    1     3     5     4    67    36   204     4     4    -9      47
says,                    1     3     5     4    63    36   141     0     0     4      47
'real                    1     4     5     4     4    38   225     4     3   -99      37
hope                     1     4     4     4    19    41   222     3     3   -15      14
range                    1     4     5     5    30    44   198     3     3   -11       7
diseases'.               1     4    10     8    43    47   170     0     0   -13       1
this                     1     4     4     4    62    49   180     0     0   -19     293
the                      1     4     3     3    73    51   160     2     2   -11    3511
possible                 1     5     8     8     5    53   143     5     5   -99      18
outcome                  1     5     7     7    15    54   167     6     6   -10       3
because                  1     5     7     7    22    55   192     5     5    -7      78
'put-up                  1     5     7     6    36    59   233     2     1   -14     -99
job',                    1     5     5     3    43    60   200     1     1    -7      16
according                1     5     9     9    55    61   169     7     7   -12      14
anti-abortion            1     5    13    13    66    64   214     1     1   -11     -99
anti-abortion            1     5    13    13    73    64   327     8     8    -7     -99
lobby,                   2     1     6     5     2    65   280     2     2     0       2
the                      2     1     3     3    19    68   182     1     1   -17    3511
committee                2     1     9     9    26    69   146     4     4    -7       8
which                    2     1     5     5    12    66   158     5     5    14     152
says                     2     1     4     4    14    67   110     1     1    -2      47
packed                   2     1     6     6    39    71   207     3     3   -25       3
cloning's                2     1     9     9    50    73   229     2     2   -11     -99
supporters.              2     1    11    10    62    74   202     4     4   -12       2
The                      2     1     3     3    74    75   147     0     0   -12    3511
conclusion               2     2    10    10     3    76   208     3     3   -99       7
indeed                   2     2     6     6    18    78   186     4     4   -15      26
unsurprising,            2     2    13    12    26    79   210     5     5    -8       1
a                        2     2     1     1    44    82   202     1     1   -18    1434
reason:                  2     2     7     6    56    84   261     1     1   -12      11
but                      2     2     3     3    37    80   173     2     2    19     325
for                      2     2     3     3    42    81   122     3     3    -5     519
reflects                 2     2     8     8    68    86   194     2     2   -26       2
reflects                 2     2     8     8    74    86   289     8     8    -6       2
reflects                 2     2     8     8    67    86   124     1     1     7       2
overwhelming             2     3    12    12     5    88   252     5     5   -99       2
current                  2     3     7     7    24    91   223     1     1   -19      15
medical                  2     3     7     7    36    92   140     5     5   -12      10
scientific               2     3    10    10    50    94   254     7     7   -14      14
The                      2     3     3     3    65    96    80     2     2   -15    3511
cloning                  2     3     7     7    73    97    69     6     6    -8       6
The                      2     3     3     3    64    96   125     1     1     9    3511
been                     2     4     4     4     5   100   223     1     1   -99     178
thoroughly               2     4    10    10    20   102   171     6     6   -15       2
aired,                   2     4     6     5    29   103   191     4     4    -9       1
examined                 2     4     8     8    39   104   248     7     7   -10       1
debated                  2     4     7     7    48   106   219     3     3    -9       1
any                      2     4     3     3    59   108   193     1     1   -11      58
science                  2     4     7     7    72   111   194     1     1   -13      19
recent                   2     5     6     6    20   115   257     4     4   -99      13
Official                 2     5     8     8    40   117   207     6     6   -20      10
reports                  2     5     7     7    49   118   176     6     6    -9       2
have                     2     5     4     4    55   119   203     4     4    -6     361
published                2     5     9     9    65   121   157     4     4   -10       8
by                       2     5     2     2    72   122   260     1     1    -7     252
*Off-screen              3   -99     2     2   -99   -99   228   -99   -99   -99     -99
Genetics                 3     1     8     8     8   125   147     2     2   -99       1
Advisory                 3     1     8     8    18   126   232     3     3   -10       1
Commission,              3     1    11    10    26   127   147     2     2    -8       6
Human                    3     1     5     5    40   129   215     0     0   -14      25
Fertilisation            3     1    13    13    50   130   160     4     4   -10       2
Embryology               3     1    10    10    65   132   229     1     1   -15       3
(HFEA)                   3     2     6     4    16   134   202     6     5   -99       6
Chief                    3     2     5     5    28   137   195     3     3   -12      16
Chief                    3     2     5     5    26   137    89     1     1     2      16
(HFEA)                   3     2     6     4    10   134   302     0    -1    16       6
(HFEA)                   3     2     6     4    12   134   102     2     1    -2       6
Chief                    3     2     5     5    27   137   177     2     2   -15      16
Medical                  3     2     7     7    35   138   175     4     4    -8      10
have                     3     2     4     4    55   141   238     3     3   -20     361
cloning                  3     2     7     7    66   143   223     2     2   -11       6
stem                     3     2     4     4    76   145   174     0     0   -10       2
backed                   3     2     6     6    59   142   255     2     2    17       4
for                      3     2     3     3    74   144   155     2     2   -15     519
stem                     3     2     4     4    76   145    54     0     0    -2       2
cells                    3     3     5     5     3   146   217     3     3   -99       5
body's                   3     3     6     6    17   148   251     6     6   -14     -99
cells)                   3     3     6     5    28   150   236     3     3   -11       5
body's                   3     3     6     6    17   148   228     6     6    11     -99
body's                   3     3     6     6    11   148   224     0     0     6     -99
(the                     3     3     4     3     7   147   300     1     0     4    3511
master                   3     3     6     6    20   149   255     2     2   -13       3
cells)                   3     3     6     5    28   150   153     3     3    -8       5
cloned                   3     3     6     6    39   152   148     2     2   -11       3
*Blink                   3   -99     6     6   -99   -99   139   -99   -99   -99     -99
embryos                  3     3     7     7    48   153   214     4     4   -99       2
cloned                   3     3     6     6    56   155   282     1     1    -8       3
adult                    3     3     5     5    67   156   232     5     5   -11       6
cells                    3     3     5     5    73   157   100     5     5    -6       5
produce                  3     4     7     7     7   159   161     7     7   -99       9
tissues                  3     4     7     7    16   161   139     4     4    -9       1
body                     3     4     4     4    28   163   181     4     4   -12      12
courts,                  3     4     7     6    46   166   198     1     1   -18       3
too,                     3     4     4     3    54   167   146     1     1    -8      56
had                      3     4     3     3    65   169   155     2     2   -11     130
their                    3     4     5     5    71   170   112     4     4    -6     225
Pro-Life                 3     5     8     8    12   173   221     8     8   -99     -99
claimed                  3     5     7     7    24   175   174     2     2   -12       6
case                     3     5     4     4    36   178   202     1     1   -12      26
year                     3     5     4     4    46   180   188     1     1   -10      51
there                    3     5     5     5    58   182   216     3     3   -12     189
nothing                  3     5     7     7    67   184   151     2     2    -9      14
nothing                  3     5     7     7    72   184   192     7     7    -5      14
