WORD                  TEXT  LINE  OLEN  WLEN  XPOS  WNUM  FDUR  OBLP  WDLP  LAUN    TXFR                                            
The                      1     1     3     3     1     1   211     1     1     0    3511
case                     1     1     4     4     7     2   159     3     3    -6      26
Susan                    1     1     5     5    16     5   195     1     1    -9       3
Wallace,                 1     1     8     7    25     6   221     4     4    -9       4
went                     1     1     4     4    37     8   193     3     3   -12      13
her                      1     1     3     3    49    11   163     2     2   -12     107
local                    1     1     5     5    54    12   166     3     3    -5      15
Igwig                    1     1     5     5    66    14   144     4     4   -12       1
Igwig                    1     1     5     5    64    14   199     2     2     2       1
iguana,                  1     1     7     6    73    16   172     1     1    -9       4
lessons                  1     2     7     7     5    18   326     1     1   -99       7
the                      1     3     3     3    15    35   146     0     0   -99    3511
Ms                       1     3     2     2    27    37   211     2     2   -12       9
you                      1     3     3     3    37    39   193     0     0   -10     179
recall,                  1     3     7     6    48    41   172     3     3   -11       8
recall,                  1     3     7     6    52    41   133     7     7    -4       8
up                       1     3     2     2    70    45   141     2     2   -18     135
with                     1     3     4     4    73    46    59     2     2    -3     393
conviction               1     4    10    10     6    48   299     6     6   -99       1
assault                  1     4     7     7    19    50   283     4     4   -13       2
unnecessary              1     4    11    11    29    52   220     2     2   -10       4
suffering                1     4     9     9    43    53   186     4     4   -14       4
-                        1     4     1     1    49    54   113     0     0    -6     -99
to                       1     4     2     2    60    57   240     1     1   -11    1597
iguana.                  1     4     7     6    72    59   170     6     6   -12       4
Lesson                   1     5     6     6     5    60   194     5     5   -99       5
that                     1     5     4     4    16    63   196     2     2   -11     871
pint                     1     5     4     4    31    67   215     0     0   -15       2
lager                    1     5     5     5    42    69   172     3     3   -11       2
amount                   1     5     6     6    53    72   186     2     2   -11       3
Wallace                  1     5     7     7    62    74   161     1     1    -9       4
Wallace                  1     5     7     7    68    74   218     7     7    -6       4
Wallace                  1     5     7     7    61    74   458     0     0     7       4
that                     1     5     4     4    15    63   147     1     1    46     871
Lesson                   1     5     6     6     6    60   252     6     6     9       5
is                       1     5     2     2    12    62   179     1     1    -6     717
half                     1     5     4     4    28    65   258     4     4   -16      20
lager                    1     5     5     5    39    69   209     0     0   -11       2
amount                   1     5     6     6    54    72   220     3     3   -15       3
Wallace                  1     5     7     7    62    74   306     1     1    -8       4
was                      1     5     3     3    71    75   275     2     2    -9     383
reported                 2     1     8     8     2    76   239     2     2     0       3
have                     2     1     4     4    14    78   194     2     2   -12     361
drunk                    2     1     5     5    22    79   112     5     5    -8       2
peculiar                 2     1     8     8    35    82   119     6     6   -13       2
*Blink                   2   -99     8     8   -99   -99    76   -99   -99   -99     -99
effects                  2     1     7     7    44    83   243     6     6   -99      10
combined                 2     1     8     8    53    85   224     2     2    -9       2
the                      2     1     3     3    65    87   172     0     0   -12    3511
presence                 2     1     8     8    72    88   106     3     3    -7       5
rather                   2     2     6     6     5    91   210     3     3   -99      42
lizard                   2     2     6     6    15    93   170     0     0   -10       3
sprawled                 2     2     8     8    28    94   233     6     6   -13       2
your                     2     2     4     4    42    96   319     4     4   -14      65
across                   2     2     6     6    35    95   222     4     4     7      28
Lesson                   2     2     6     6    53    98   254     4     4   -18       5
two,                     2     2     4     3    58    99   157     2     2    -5      43
